TABLE;FREQ;TIME_PERIOD;REPORTING;PARTNER;DIRECTION;AGE;ADJUST;OBS_VALUE;OBS_STATUS
T02;Q;2016Q1;FR;ES;OUT;TOTAL;S;30;
T02;Q;2016Q2;FR;ES;OUT;TOTAL;S;31;
T02;Q;2016Q3;FR;ES;OUT;TOTAL;S;32;
T02;Q;2016Q4;FR;ES;OUT;TOTAL;S;33;
T02;Q;2016Q1;FR;ES;OUT;TOTAL;N;19;
T02;Q;2016Q2;FR;ES;OUT;TOTAL;N;30;
T02;Q;2016Q3;FR;ES;OUT;TOTAL;N;55
T02;Q;2016Q4;FR;ES;OUT;TOTAL;N;23;
T02;Q;2016Q1;FR;ES;IN;TOTAL;S;30;
T02;Q;2016Q2;FR;ES;IN;TOTAL;S;31;
T02;Q;2016Q3;FR;ES;IN;TOTAL;S;32;
T02;Q;2016Q4;FR;ES;IN;TOTAL;S;33;
T02;Q;2016Q1;FR;ES;IN;TOTAL;N;19;
T02;Q;2016Q2;FR;ES;IN;TOTAL;N;30;
T02;Q;2016Q3;FR;ES;IN;TOTAL;N;55;
T02;Q;2016Q4;FR;ES;IN;TOTAL;N;33;
